Team 1,Team 2,EXP1,JUNGLE1,MID1,GOLD1,ROAM1,EXP2,JUNGLE2,MID2,GOLD2,ROAM2,Winner
FNOC,TLID,Arlott,Roger,Valentina,Harith,Chou,Edith,Julian,Luo Yi,Moskov,Minotaur,FNOC
FNOC,TLID,Thamuz,Nolan,Valentina,Harith,Minotaur,Arlott,Joy,Vexana,Roger,Edith,FNOC
EVOS,DEWA,Ruby,Nolan,Vexana,Moskov,Khufra,Hylos,Julian,Valentina,Claude,Edith,DEWA
EVOS,DEWA,Hylos,Roger,Zhask,Claude,Guinevere,X.Borg,Julian,Valentina,Moskov,Arlott,EVOS
EVOS,DEWA,X.Borg,Roger,Novaria,Harith,Guinevere,Paquito,Julian,Valentina,Moskov,Hylos,DEWA
TLID,BTR,Barats,Nolan,Zhask,Moskov,Minotaur,Terizla,Roger,Valentina,Ruby,Mathilda,BTR
TLID,BTR,Edith,Roger,Valentina,Harith,Chou,Arlott,Yin,Luo Yi,Moskov,Ruby,BTR
RRQ,EVOS,Edith,Alpha,Zhuxin,Karrie,Ruby,Terizla,Hayabusa,Zhask,Roger,Carmilla,RRQ
RRQ,EVOS,Edith,Nolan,Yve,Claude,Ruby,Yu Zhong,Alpha,Zhuxin,Roger,Minotaur,RRQ
GEEK,AE,Arlott,Julian,Zhuxin,Moskov,Helcurt,Hylos,Lancelot,Valentina,Karrie,Edith,GEEK
GEEK,AE,Arlott,Roger,Zhask,Karrie,Edith,Terizla,Alpha,Valentina,Moskov,Ruby,AE
GEEK,AE,Arlott,Julian,Lylia,Roger,Khufra,Ruby,Hayabusa,Zhask,Claude,Tigreal,AE
RBL,FNOC,Barats,Hayabusa,Zhask,Moskov,Edith,Arlott,Roger,Aurora,Harith,Grock,FNOC
RBL,FNOC,Terizla,Hayabusa,Zhask,Karrie,Khufra,Arlott,Julian,Valentina,Roger,Minotaur,RBL
RBL,FNOC,Edith,Hayabusa,Vexana,Melissa,Chou,Terizla,Roger,Faramis,Claude,Khufra,FNOC
BTR,RRQ,Ruby,X.Borg,Valentina,Moskov,Arlott,Terizla,Julian,Aurora,Roger,Minotaur,BTR
BTR,RRQ,Terizla,Ling,Valentina,Harith,Grock,Arlott,Fredrinn,Faramis,Roger,Aurora,RRQ
BTR,RRQ,Arlott,Ling,Faramis,Harith,Tigreal,Edith,Hayabusa,Zhask,Claude,Jawhead,BTR
DEWA,GEEK,Terizla,Alpha,Aurora,Roger,Ruby,Gloo,Fanny,Zhuxin,Harith,Khufra,DEWA
DEWA,GEEK,Edith,Alpha,Aurora,Roger,Chou,Arlott,Hayabusa,Zhuxin,Claude,Terizla,DEWA
RBL,RRQ,Gloo,Julian,Zhask,Moskov,Terizla,Edith,Roger,Aurora,Natan,Franco,RRQ
RBL,RRQ,Terizla,Julian,Zhask,Beatrix,Kaja,Edith,Alpha,Aurora,Natan,Khufra,RRQ
EVOS,TLID,Hylos,Hayabusa,Vexana,Harith,Jawhead,Edith,X.Borg,Zhask,Moskov,Mathilda,TLID
EVOS,TLID,Gloo,Lancelot,Zhask,Moskov,Edith,Hylos,Fanny,Zhuxin,Harith,Chou,EVOS
EVOS,TLID,Hylos,Hayabusa,Aurora,Claude,Jawhead,Edith,Joy,Zhask,Karrie,Minotaur,TLID
BTR,AE,Ruby,Benedetta,Valentina,Harith,Grock,Hylos,Roger,Zhask,Lunox,Tigreal,BTR
BTR,AE,Ruby,X.Borg,Luo Yi,Harith,Arlott,Hylos,Roger,Valentina,Claude,Tigreal,BTR
RRQ,FNOC,Thamuz,Roger,Valentina,Harith,Ruby,Gloo,Hayabusa,Zhask,Claude,Chou,RRQ
RRQ,FNOC,Terizla,Nolan,Luo Yi,Roger,Ruby,Arlott,Julian,Zhask,Claude,Edith,RRQ
EVOS,GEEK,Edith,Fanny,Aurora,Roger,Khufra,Terizla,Ling,Luo Yi,Harith,Ruby,GEEK
EVOS,GEEK,Barats,Alpha,Zhask,Harith,Tigreal,Terizla,Ling,Luo Yi,Harith,Ruby,EVOS
EVOS,GEEK,Terizla,Nolan,Zhask,Karrie,Franco,Hylos,Roger,Vexana,Harith,Ruby,GEEK
DEWA,BTR,Chou,Roger,Zhuxin,Natan,Khufra,Arlott,Hayabusa,Valentina,Bruno,Mathilda,BTR
DEWA,BTR,Terizla,Alpha,Yve,Harith,Chou,Yu Zhong,X.Borg,Valentina,Roger,Arlott,BTR
AE,FNOC,Benedetta,Alpha,Zhask,Karrie,Ruby,Edith,Nolan,Faramis,Harith,Tigreal,FNOC
AE,FNOC,Ruby,Lancelot,Valentina,Roger,Chou,Edith,Hayabusa,Aurora,Moskov,Minotaur,FNOC
TLID,RBL,Edith,X.Borg,Zhask,Roger,Mathilda,Terizla,Alpha,Yve,Moskov,Grock,TLID
TLID,RBL,Terizla,Joy,Valentina,Karrie,Edith,Gloo,Hayabusa,Lunox,Roger,Khufra,TLID
FNOC,GEEK,Terizla,Ling,Vexana,Bruno,Hylos,Chou,Roger,Valentina,Moskov,Natalia,GEEK
FNOC,GEEK,Arlott,Roger,Aurora,Harith,Ruby,Edith,Ling,Valentina,Lunox,Kaja,FNOC
FNOC,GEEK,Edith,Ling,Valentina,Clint,Grock,Thamuz,Roger,Zhask,Moskov,Ruby,GEEK
DEWA,RBL,Edith,Fanny,Valentina,Claude,Jawhead,Ruby,Hayabusa,Nana,Moskov,Khufra,DEWA
DEWA,RBL,Edith,X.Borg,Aurora,Moskov,Mathilda,Arlott,Joy,Zhuxin,Roger,Kaja,DEWA
GEEK,BTR,Edith,Roger,Zhask,Lunox,Terizla,Arlott,Hayabusa,Aurora,Harith,Jawhead,GEEK
GEEK,BTR,Thamuz,Nolan,Zhask,Moskov,Ruby,Edith,Ling,Faramis,Beatrix,Jawhead,BTR
GEEK,BTR,Edith,Roger,Faramis,Lunox,Terizla,Barats,Hayabusa,Zhask,Harith,Jawhead,GEEK
AE,EVOS,Edith,Nolan,Aurora,Roger,Chou,Hylos,Julian,Zhask,Moskov,Jawhead,EVOS
AE,EVOS,Phoveus,Hayabusa,Aurora,Roger,Jawhead,Edith,Bane,Valentina,Harith,Mathilda,AE
AE,EVOS,Edith,Roger,Faramis,Harith,Jawhead,Terizla,Bane,Zhuxin,Moskov,Akai,EVOS
TLID,DEWA,Phoveus,Nolan,Yve,Harith,Hylos,Terizla,Ling,Aurora,Roger,Ruby,TLID
TLID,DEWA,Edith,Nolan,Faramis,Harith,Chou,Arlott,Ling,Aurora,Roger,Jawhead,TLID
RBL,AE,Edith,Joy,Zhask,Moskov,Grock,Hylos,Nolan,Aurora,Roger,Chou,AE
RBL,AE,Edith,Julian,Zhask,Moskov,Jawhead,Ruby,Roger,Aurora,Claude,Chou,RBL
RBL,AE,Terizla,Julian,Valentina,Moskov,Jawhead,Hylos,Nolan,Luo Yi,Roger,Tigreal,AE
RRQ,TLID,Arlott,Lancelot,Zhuxin,Harith,Hylos,Terizla,Nolan,Zhask,Karrie,Jawhead,RRQ
RRQ,TLID,Barats,Nolan,Aurora,Natan,Hylos,Terizla,Joy,Zhask,Moskov,Edith,RRQ
BTR,EVOS,Edith,Fanny,Valentina,Moskov,Grock,Phoveus,Julian,Vexana,Brody,Jawhead,EVOS
BTR,EVOS,Arlott,Ling,Zhask,Harith,Lolita,Phoveus,Julian,Valentina,Roger,Franco,BTR
BTR,EVOS,Arlott,Alpha,Lunox,Roger,Mathilda,Phoveus,Bane,Valentina,Moskov,Akai,BTR
FNOC,DEWA,Terizla,Hayabusa,Lylia,Moskov,Hylos,Edith,Julian,Zhask,Karrie,Chou,FNOC
FNOC,DEWA,Edith,Nolan,Kadita,Harith,Chou,Hylos,Hayabusa,Valentina,Lunox,Tigreal,DEWA
FNOC,DEWA,Grock,Nolan,Faramis,Harith,Tigreal,Arlott,Hayabusa,Lylia,Lunox,Edith,FNOC
BTR,RBL,Arlott,Alpha,Zhask,Moskov,Khufra,Ruby,Fanny,Valentina,Roger,Tigreal,BTR
BTR,RBL,Yu Zhong,Alpha,Lylia,Harith,Arlott,Phoveus,Benedetta,Zhask,Lunox,Jawhead,RBL
BTR,RBL,Ruby,Roger,Zhask,Beatrix,Kaja,Terizla,Benedetta,Aurora,Harith,Jawhead,BTR
TLID,GEEK,Terizla,Nolan,Zhask,Harith,Jawhead,Hylos,Julian,Vexana,Moskov,Gatotkaca,GEEK
TLID,GEEK,Terizla,Nolan,Faramis,Harith,Carmilla,Hylos,Julian,Vexana,Claude,Gatotkaca,TLID
TLID,GEEK,Hylos,Nolan,Zhuxin,Natan,Carmilla,Phoveus,Julian,Valentina,Moskov,Lolita,TLID
FNOC,BTR,Barats,Fanny,Faramis,Harith,Grock,Ruby,Ling,Valentina,Beatrix,Edith,FNOC
FNOC,BTR,Terizla,Fanny,Faramis,Brody,Jawhead,Arlott,Ling,Zhask,Clint,Ruby,BTR
FNOC,BTR,Arlott,Fanny,Faramis,Roger,Hylos,Ruby,Ling,Luo Yi,Moskov,Jawhead,FNOC
RRQ,AE,Edith,Alpha,Faramis,Harith,Ruby,Phoveus,Hayabusa,Zhask,Claude,Minotaur,RRQ
RRQ,AE,Arlott,Hayabusa,Zhask,Clint,Ruby,Phoveus,Nolan,Luo Yi,Lunox,Hylos,AE
RRQ,AE,Edith,Julian,Aurora,Beatrix,Franco,Hylos,Nolan,Zhask,Hanabi,Lolita,RRQ
RBL,EVOS,Phoveus,Benedetta,Zhask,Roger,Edith,Arlott,Julian,Vexana,Moskov,Jawhead,RBL
RBL,EVOS,Phoveus,Benedetta,Yve,Roger,Edith,Arlott,Julian,Zhuxin,Moskov,Jawhead,RBL
GEEK,RRQ,Hylos,Ling,Vexana,Karrie,Gatotkaca,Phoveus,Alpha,Aurora,Bruno,Edith,RRQ
GEEK,RRQ,Phoveus,Nolan,Vexana,Moskov,Terizla,Minsitthar,Julian,Valentina,Claude,Hylos,GEEK
GEEK,RRQ,Edith,Nolan,Vexana,Bruno,Gatotkaca,Phoveus,Ling,Valentina,Beatrix,Grock,RRQ
AE,DEWA,Arlott,Fanny,Luo Yi,Harith,Jawhead,Barats,Julian,Valentina,Moskov,Ruby,AE
AE,DEWA,Phoveus,Lancelot,Zhask,Roger,Chou,Terizla,Hayabusa,Valentina,Harith,Jawhead,AE
GEEK,RBL,Phoveus,Alpha,Faramis,Moskov,Ruby,Edith,Julian,Zhask,Karrie,Akai,GEEK
GEEK,RBL,Edith,Julian,Aurora,Moskov,Grock,Arlott,Hayabusa,Zhask,Karrie,Akai,GEEK
EVOS,FNOC,Phoveus,Nolan,Valentina,Claude,Tigreal,Terizla,Julian,Vexana,Karrie,Hylos,FNOC
EVOS,FNOC,Phoveus,Nolan,Angela,Lunox,Tigreal,Terizla,Roger,Valentina,Ruby,Jawhead,FNOC
DEWA,RRQ,Phoveus,Hayabusa,Vexana,Lunox,Gatotkaca,Hylos,Alpha,Angela,Harith,Tigreal,DEWA
DEWA,RRQ,Arlott,Ling,Aurora,Lunox,Chou,Edith,Julian,Zhuxin,Karrie,Franco,RRQ
DEWA,RRQ,Phoveus,Julian,Aurora,Moskov,Gatotkaca,Yu Zhong,Fredrinn,Vexana,Natan,Edith,RRQ
AE,TLID,Phoveus,Lancelot,Zhask,Roger,Grock,Hylos,Alpha,Vexana,Natan,Lolita,TLID
AE,TLID,Edith,Ling,Vexana,Moskov,Tigreal,Terizla,Fanny,Aurora,Harith,Chou,TLID
EVOS,BTR,Terizla,Nolan,Faramis,Lunox,Franco,Phoveus,Bane,Zhask,Roger,Tigreal,BTR
EVOS,BTR,Terizla,Roger,Zhask,Natan,Tigreal,Phoveus,Nolan,Lunox,Harith,Ruby,BTR
AE,RBL,Phoveus,Ling,Vexana,Moskov,Tigreal,Edith,Alpha,Yve,Roger,Akai,AE
AE,RBL,Terizla,Ling,Aurora,Karrie,Jawhead,Arlott,Julian,Zhask,Moskov,Edith,AE
GEEK,FNOC,Phoveus,Nolan,Vexana,Moskov,Grock,Hylos,Julian,Zhask,Brody,Lolita,GEEK
GEEK,FNOC,Phoveus,Nolan,Yve,Moskov,Mathilda,Hylos,Julian,Vexana,Karrie,Chou,GEEK
DEWA,TLID,Phoveus,Julian,Lylia,Moskov,Edith,Terizla,Alpha,Vexana,Natan,Carmilla,TLID
DEWA,TLID,Arlott,Alpha,Vexana,Lunox,Gatotkaca,Terizla,Ling,Aurora,Harith,Angela,DEWA
DEWA,TLID,Edith,Alpha,Vexana,Karrie,Gatotkaca,Hylos,Nolan,Yve,Harith,Lolita,TLID
BTR,DEWA,Phoveus,Nolan,Yve,Lunox,Grock,Edith,Alpha,Zhuxin,Harith,Terizla,BTR
BTR,DEWA,Phoveus,Nolan,Zhask,Lunox,Khufra,Terizla,Alpha,Valentina,Harith,Carmilla,DEWA
BTR,DEWA,Phoveus,Hayabusa,Zhask,Roger,Mathilda,Terizla,Julian,Vexana,Moskov,Gatotkaca,BTR
RBL,TLID,Edith,Hayabusa,Zhuxin,Karrie,Kaja,Phoveus,Roger,Vexana,Ruby,Hylos,TLID
RBL,TLID,Edith,Hayabusa,Yve,Karrie,Carmilla,Phoveus,Julian,Vexana,Roger,Hylos,RBL
RBL,TLID,Edith,Alpha,Novaria,Karrie,Mathilda,Arlott,Roger,Yve,Ruby,Hylos,TLID
DEWA,EVOS,Arlott,Hayabusa,Valentina,Harith,Gatotkaca,Chou,Fanny,Zhask,Lunox,Edith,DEWA
DEWA,EVOS,Terizla,Alpha,Valentina,Moskov,Mathilda,Ruby,Nolan,Lunox,Roger,Tigreal,DEWA
AE,GEEK,Edith,Julian,Vexana,Karrie,Chip,Phoveus,Nolan,Luo Yi,Moskov,Grock,AE
AE,GEEK,Hylos,Julian,Vexana,Hanabi,Lolita,Phoveus,Nolan,Yve,Moskov,Terizla,GEEK
AE,GEEK,Edith,Bane,Vexana,Harith,Chip,Phoveus,Nolan,Faramis,Lunox,Ruby,GEEK
FNOC,RRQ,Chou,Roger,Vexana,Lunox,Gatotkaca,Edith,Ling,Valentina,Harith,Ruby,RRQ
FNOC,RRQ,Chou,Nolan,Zhuxin,Karrie,Arlott,Edith,Roger,Yve,Ixia,Mathilda,RRQ
EVOS,AE,Arlott,Fanny,Valentina,Moskov,Lolita,Edith,Ling,Luo Yi,Clint,Khufra,AE
EVOS,AE,Edith,Roger,Valentina,Ruby,Mathilda,Terizla,Fanny,Aurora,Moskov,Jawhead,AE
TLID,FNOC,Arlott,Nolan,Vexana,Harith,Hylos,Edith,Roger,Valentina,Lunox,Kaja,TLID
TLID,FNOC,Hylos,Alpha,Angela,Harith,Chou,Terizla,Ling,Valentina,Roger,Mathilda,TLID
RRQ,BTR,Terizla,Fanny,Vexana,Melissa,Ruby,Phoveus,Nolan,Faramis,Roger,Mathilda,BTR
RRQ,BTR,Uranus,Roger,Aurora,Harith,Gatotkaca,Masha,Hayabusa,Zhask,Ruby,Grock,RRQ
RRQ,BTR,Arlott,Bane,Valentina,Harith,Gatotkaca,Ruby,Fanny,Lunox,Roger,Khufra,RRQ
GEEK,DEWA,Edith,Nolan,Faramis,Lunox,Ruby,Arlott,Alpha,Vexana,Harith,Hylos,GEEK
GEEK,DEWA,Terizla,Julian,Yve,Claude,Ruby,Edith,Alpha,Valentina,Harith,Carmilla,GEEK
BTR,TLID,Chou,Ling,Vexana,Harith,Gatotkaca,Arlott,Nolan,Aurora,Alice,Hylos,TLID
BTR,TLID,Ruby,Nolan,Valentina,Natan,Tigreal,Hylos,Ling,Yve,Alice,Chou,TLID
DEWA,AE,Gloo,Hayabusa,Yve,Claude,Gatotkaca,Terizla,Ling,Valentina,Roger,Hylos,DEWA
DEWA,AE,Arlott,Hayabusa,Yve,Claude,Mathilda,Edith,Ling,Valentina,Karrie,Kaja,DEWA
EVOS,RRQ,Arlott,Ling,Valentina,Claude,Angela,Khaleed,Roger,Yve,Cecilion,Mathilda,RRQ
EVOS,RRQ,Edith,Ling,Faramis,Beatrix,Kaja,Arlott,Nolan,Aurora,Alice,Gatotkaca,EVOS
EVOS,RRQ,Edith,Nolan,Luo Yi,Harith,Akai,Gatotkaca,Joy,Faramis,Moskov,Ruby,EVOS
FNOC,RBL,Ruby,Joy,Yve,Bruno,Mathilda,Edith,Alpha,Zhask,Claude,Kaja,RBL
FNOC,RBL,Phoveus,Joy,Faramis,Claude,Ruby,Gatotkaca,Hayabusa,Zhask,Lunox,Akai,RBL
RRQ,GEEK,Phoveus,Bane,Yve,Claude,Mathilda,Thamuz,Julian,Valentina,Moskov,Chip,RRQ
RRQ,GEEK,Arlott,Roger,Valentina,Natan,Grock,Edith,Nolan,Faramis,Alice,Ruby,RRQ
RBL,BTR,Edith,Alpha,Zhask,Lunox,Khufra,Khaleed,X.Borg,Yve,Harith,Gatotkaca,BTR
RBL,BTR,Edith,Alpha,Yve,Claude,Akai,Khaleed,X.Borg,Luo Yi,Harith,Gatotkaca,BTR
TLID,EVOS,Hylos,Ling,Aurora,Ruby,Angela,Gloo,Nolan,Yve,Harith,Mathilda,TLID
TLID,EVOS,Arlott,Nolan,Valentina,Harith,Lolita,Terizla,Ling,Faramis,Beatrix,Kaja,EVOS
TLID,EVOS,Ruby,Hayabusa,Vexana,Harith,Hylos,Terizla,Nolan,Faramis,Lunox,Tigreal,TLID
GEEK,TLID,Phoveus,Roger,Yve,Clint,Ruby,Gatotkaca,Alpha,Aurora,Harith,Mathilda,TLID
GEEK,TLID,Phoveus,Bane,Yve,Lunox,Gatotkaca,Akai,Hayabusa,Lylia,Harith,Hylos,TLID
RRQ,DEWA,Khaleed,Julian,Faramis,Claude,Mathilda,Hylos,Ling,Vexana,Beatrix,Ruby,RRQ
RRQ,DEWA,Khaleed,Bane,Vexana,Natan,Ruby,X.Borg,Fanny,Yve,Beatrix,Gatotkaca,RRQ
EVOS,RBL,Yu Zhong,Julian,Aurora,Claude,Mathilda,Phoveus,Alpha,Vexana,Moskov,Kaja,RBL
EVOS,RBL,Edith,Lancelot,Faramis,Karrie,Kaja,Gatotkaca,Nolan,Valentina,Natan,Akai,EVOS
EVOS,RBL,Khaleed,Nolan,Valentina,Natan,Atlas,Edith,Julian,Zhask,Roger,Kaja,EVOS
AE,RRQ,Khaleed,Joy,Faramis,Bruno,Gatotkaca,Arlott,Ling,Vexana,Claude,Ruby,AE
AE,RRQ,Barats,Ling,Yve,Lunox,Gatotkaca,Arlott,Hayabusa,Valentina,Harith,Grock,AE
BTR,FNOC,Arlott,Alice,Angela,Beatrix,Gatotkaca,Khaleed,Hayabusa,Valentina,Wanwan,Franco,BTR
BTR,FNOC,Terizla,Alice,Angela,Beatrix,Gatotkaca,Khaleed,Hayabusa,Valentina,Wanwan,Franco,FNOC
BTR,FNOC,Arlott,Alice,Angela,Moskov,Grock,Khaleed,Hayabusa,Valentina,Wanwan,Tigreal,FNOC
TLID,AE,Barats,Ling,Aurora,Ruby,Jawhead,Arlott,Nolan,Valentina,Claude,Gatotkaca,AE
TLID,AE,Gatotkaca,Alpha,Yve,Alice,Angela,Phoveus,Nolan,Lylia,Harith,Tigreal,TLID
TLID,AE,Gatotkaca,Alpha,Yve,Harith,Chou,Hylos,Hayabusa,Vexana,Lunox,Chip,TLID
FNOC,EVOS,Khaleed,Lancelot,Valentina,Wanwan,Gatotkaca,Edith,Nolan,Faramis,Moskov,Akai,FNOC
FNOC,EVOS,Edith,Lancelot,Valentina,Beatrix,Franco,Gatotkaca,Nolan,Faramis,Natan,Hylos,FNOC
RBL,GEEK,Edith,Alpha,Benedetta,Alice,Mathilda,Khaleed,Julian,Aurora,Claude,Gatotkaca,GEEK
RBL,GEEK,Gatotkaca,Alpha,Zhask,Claude,Mathilda,Khaleed,Roger,Aurora,Alice,Hylos,RBL
RBL,GEEK,Khaleed,Alpha,Valentina,Claude,Kaja,Edith,Bane,Faramis,Moskov,Mathilda,GEEK
BTR,GEEK,Khaleed,Alpha,Faramis,Wanwan,Mathilda,Arlott,Fanny,Zhuxin,Moskov,Gatotkaca,BTR
BTR,GEEK,Hylos,Ling,Faramis,Wanwan,Tigreal,Edith,Fanny,Valentina,Claude,Khaleed,BTR
RBL,DEWA,Phoveus,Nolan,Yve,Natan,Minotaur,Terizla,Alpha,Vexana,Claude,Gatotkaca,RBL
RBL,DEWA,Phoveus,Nolan,Vexana,Natan,Kaja,Khaleed,Alpha,Faramis,Moskov,Mathilda,DEWA
RBL,DEWA,Phoveus,Nolan,Zhask,Karrie,Minotaur,Hylos,Alpha,Valentina,Wanwan,Mathilda,RBL
GEEK,EVOS,Thamuz,Alpha,Valentina,Natan,Mathilda,Khaleed,Hayabusa,Vexana,Alice,Edith,GEEK
GEEK,EVOS,Terizla,Alpha,Valentina,Wanwan,Helcurt,Khaleed,Julian,Vexana,Harith,Tigreal,EVOS
GEEK,EVOS,Edith,Nolan,Aurora,Natan,Hylos,Phoveus,Fanny,Vexana,Claude,Tigreal,GEEK
TLID,RRQ,Hylos,Ling,Angela,Harith,Chou,Phoveus,Roger,Faramis,Bruno,Gatotkaca,TLID
TLID,RRQ,Gatotkaca,Joy,Luo Yi,Wanwan,Chou,Phoveus,Alpha,Yve,Irithel,Chip,RRQ
TLID,RRQ,Gatotkaca,Ling,Yve,Ruby,Angela,Hylos,Bane,Faramis,Natan,Franco,RRQ
FNOC,AE,Barats,Hayabusa,Luo Yi,Beatrix,Edith,Terizla,Ling,Valentina,Ruby,Khufra,FNOC
FNOC,AE,Edith,Hayabusa,Faramis,Beatrix,Kaja,Chou,Ling,Yve,Bruno,Angela,FNOC
DEWA,FNOC,Khaleed,Julian,Yve,Moskov,Jawhead,Khaleed,Joy,Faramis,Moskov,Angela,FNOC
DEWA,FNOC,Hylos,Ling,Zhuxin,Harith,Angela,Phoveus,Martis,Faramis,Moskov,Franco,DEWA
DEWA,FNOC,Khaleed,Joy,Faramis,Moskov,Angela,Barats,Ling,Luo Yi,Harith,Edith,FNOC
