Hero,Image,Icon,Role
Miya,https://static.wikia.nocookie.net/mobile-legends/images/e/ed/Miya_%28Moonlight_Archer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240128052520,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da894b37bfb5cadb32307f371f31918a.png,Marksman
Balmond,https://static.wikia.nocookie.net/mobile-legends/images/3/30/Balmond_%28Bloody_Beast%29.jpg/revision/latest?cb=20210823114425,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4df4ce8528166d6e1cc94480f4f0e910.png,Fighter
Saber,https://static.wikia.nocookie.net/mobile-legends/images/7/76/Saber_%28Wandering_Sword%29.jpg/revision/latest/scale-to-width-down/1000?cb=20201009123921,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6bbfac806f29d29f17fea9e98d2d2fee.png,Assassin
Alice,https://static.wikia.nocookie.net/mobile-legends/images/e/e2/Alice_%28Queen_of_Blood%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200419033908,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_558cf35ad7d5f0cc4f0b4cbdf9498f9f.png,"Mage, Tank"
Nana,https://static.wikia.nocookie.net/mobile-legends/images/9/9f/Nana_%28Sweet_Leonin%29.jpg/revision/latest/scale-to-width-down/1000?cb=20180602112431,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ee1e0d80d87bb614a0c552ef028f85ce.png,Mage
Tigreal,https://static.wikia.nocookie.net/mobile-legends/images/b/ba/Tigreal_%28Warrior_of_Dawn%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220203071035,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8b30576754be1a4f8bebd09df8d6bec7.png,Tank
Alucard,https://static.wikia.nocookie.net/mobile-legends/images/b/b9/Alucard_%28Demon_Hunter%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240125070011,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0f51b6906e08897aa02330d65b0deeac.png,"Fighter, Assassin"
Karina,https://static.wikia.nocookie.net/mobile-legends/images/9/92/Karina_%28Shadow_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211010063626,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f49394186dc0e55d545da8377be83280.png,Assassin
Akai,https://static.wikia.nocookie.net/mobile-legends/images/8/83/Akai_%28Panda_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104055333,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28f223447f0174336ff0922d364d81d3.png,Tank
Franco,https://static.wikia.nocookie.net/mobile-legends/images/f/f8/Franco_%28Frozen_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200421010136,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2928027062e3c2a97bc3fd4a84897012.png,Tank
Bane,https://static.wikia.nocookie.net/mobile-legends/images/0/02/Bane_%28Frozen_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20210415134911,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_7e4e74bb161da0f477cc0d1819fa39e6.png,"Fighter, Mage"
Bruno,https://static.wikia.nocookie.net/mobile-legends/images/d/d0/Bruno_%28Mech_Protector%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009020353,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff39deb9c6afec3d977fdbe9d86f78cb.png,Marksman
Clint,https://static.wikia.nocookie.net/mobile-legends/images/1/19/Clint_%28West_Justice%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240719052533,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a8345c69a4c9c611fdfce91089fe74a.png,Marksman
Rafaela,https://static.wikia.nocookie.net/mobile-legends/images/6/68/Rafaela_%28Wings_of_Holiness%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200420150336,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68277dce415742c4a98883151c693a07.png,Support
Eudora,https://static.wikia.nocookie.net/mobile-legends/images/1/11/Eudora_%28Lightning_Weaver%29.jpg/revision/latest/scale-to-width-down/1000?cb=20201009123709,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60956060c4cbb86f3c6343da05b70568.png,Mage
Zilong,https://static.wikia.nocookie.net/mobile-legends/images/c/c1/Zilong_%28Spear_of_Dragon%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200911144515,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9db57da4f0daef6d432676e4f19101ed.png,"Fighter, Assassin"
Fanny,https://static.wikia.nocookie.net/mobile-legends/images/a/ac/Fanny_%28Blade_Dancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220206153547,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3391df36d6dcc54dd1c417098e15ec59.png,Assassin
Layla,https://static.wikia.nocookie.net/mobile-legends/images/f/f9/Layla_%28Energy_Gunner%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009030108,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b2b38e9406ea0de0b866db7674feea0f.png,Marksman
Minotaur,https://static.wikia.nocookie.net/mobile-legends/images/c/c1/Minotaur_%28Son_of_Minos%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029214729,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3ecd2c0843df7ec85044dafff6bf4553.png,"Tank, Support"
Lolita,https://static.wikia.nocookie.net/mobile-legends/images/d/dc/Lolita_%28Steel_Elf%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009015931,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_474cea36a4bfdc7bf7d94530853a99b2.png,"Support, Tank"
Hayabusa,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Hayabusa_%28Crimson_Shadow%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211217224554,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9cc074562291a02644a0ddae28eeaa42.png,Assassin
Freya,https://static.wikia.nocookie.net/mobile-legends/images/4/44/Freya_%28Valkyrie%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029210923,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ecfab713c877196d4b9e44a2aa2f6a.png,Fighter
Gord,https://static.wikia.nocookie.net/mobile-legends/images/1/1a/Gord_%28Professor_of_the_Mystics%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104060105,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8e459d236f8839e9db8a9af76bfaa333.png,Mage
Natalia,https://static.wikia.nocookie.net/mobile-legends/images/3/31/Bright_Claw_%28rework%29_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200815164824,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_fbb5065b6ff174d1a20ccf5b7f523514.png,Assassin
Kagura,https://static.wikia.nocookie.net/mobile-legends/images/f/ff/Kagura_%28Onmyouji_Master%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211212135733,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da424b020b8ac8235d64a1b8a09aa749.png,Mage
Chou,https://static.wikia.nocookie.net/mobile-legends/images/0/0c/Chou_%28Kung_Fu_Boy%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819015920,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_158209b180032c4564b8f3bde8c48888.png,Fighter
Sun,https://static.wikia.nocookie.net/mobile-legends/images/4/49/Sun_%28Monkey_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240202094809,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_117b5cdcc13232157075ce7b7f6177e9.png,Fighter
Alpha,https://static.wikia.nocookie.net/mobile-legends/images/4/4a/Alpha_%28Blade_of_Enmity%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022141,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_86c9f91f530727db6498f920d19180d1.png,Fighter
Ruby,https://static.wikia.nocookie.net/mobile-legends/images/2/27/Ruby_%28Little_Red_Hood%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231231093700,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4b96c75b136290576d849309722d4d20.png,Fighter
Yi Sun-shin,https://static.wikia.nocookie.net/mobile-legends/images/0/0c/Yi_Sun-shin_%28Paenlong_Legend%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230811025401,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_961378be3f498d42c25b3defd1635ad1.png,"Assassin, Marksman"
Moskov,https://static.wikia.nocookie.net/mobile-legends/images/a/a1/Moskov_%28Spear_of_Quiescence%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240128040500,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a60a866ab6752a7f66766e720da987ea.png,Marksman
Johnson,https://static.wikia.nocookie.net/mobile-legends/images/1/14/Johnson_%28Wild_Engine%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009020910,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ff988c6660b4d04f8dd3d40df988bb.png,"Tank, Support"
Cyclops,https://static.wikia.nocookie.net/mobile-legends/images/0/0d/Cyclops_%28Starsoul_Magician%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230902072937,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68da456f9c01b2f88d29ee320db181ed.png,Mage
Estes,https://static.wikia.nocookie.net/mobile-legends/images/8/88/Estes_%28Moon_Elf_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200514034311,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff4de3b0aabd1d2f6e184db1c831f6a9.png,Support
Hilda,https://static.wikia.nocookie.net/mobile-legends/images/7/70/Hilda_%28Power_of_Megalith%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240310142524,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_acd700708dc515f5c63a08f8835a9941.png,"Fighter, Tank"
Aurora,https://static.wikia.nocookie.net/mobile-legends/images/9/9a/Aurora_%28Maiden_of_the_Glacier%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240131121029,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f9b2be0150361018bb98f941b9667c42.png,Mage
Lapu-Lapu,https://static.wikia.nocookie.net/mobile-legends/images/6/64/Lapu-Lapu_%28Courageous_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022152,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28036c4584c914c5aad4d2feeafb2452.png,Fighter
Vexana,https://static.wikia.nocookie.net/mobile-legends/images/c/c2/Vexana_%28Shimmer_of_Hope%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094302,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_743edd1702084c4ed247908d698bca77.png,Mage
Roger,https://static.wikia.nocookie.net/mobile-legends/images/7/70/Roger_%28Dire_Wolf_Hunter%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200815074734,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b40e578f13465b3ae99d0a9baac7ecc9.png,"Fighter, Marksman"
Karrie,https://static.wikia.nocookie.net/mobile-legends/images/6/67/Karrie_%28Lost_Star%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083837,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_294576f2bd0dcbcc9041031969d0eb09.png,Marksman
Gatotkaca,https://static.wikia.nocookie.net/mobile-legends/images/5/54/Gatotkaca_%28Iron_Steel%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029221857,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_96f9dbbc096e0f0a28f9b9e587d06a9c.png,"Tank, Fighter"
Harley,https://static.wikia.nocookie.net/mobile-legends/images/8/8a/Harley_%28Mage_Genius%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819021629,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3aa6964c07a70f9b125da447f320e1ac.png,"Assassin, Mage"
Irithel,https://static.wikia.nocookie.net/mobile-legends/images/2/2b/Irithel_%28Jungle_Heart%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819021925,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png,Marksman
