Hero,∑,W,L
Edith,98,47,51
Valentina,78,33,45
Harith,77,44,33
Hylos,76,43,33
Roger,76,38,38
Nolan,74,35,39
Alpha,71,39,32
Moskov,70,30,40
Ruby,66,34,32
Phoveus,64,38,26
Terizla,61,28,33
Zhask,60,25,35
Arlott,58,29,29
Yve,54,33,21
Faramis,50,33,17
Gatotkaca,50,25,25
Ling,49,25,24
Vexana,49,19,30
Julian,49,17,32
Mathilda,48,31,17
Hayabusa,46,22,24
Aurora,44,26,18
Chou,44,19,25
Natan,40,22,18
Claude,39,17,22
Khaleed,36,20,16
Tigreal,35,18,17
Lunox,34,17,17
Zhuxin,34,15,19
Jawhead,31,12,19
Beatrix,29,18,11
Karrie,26,11,15
Angela,23,12,11
Luo Yi,22,14,8
Bane,21,13,8
Fanny,21,6,15
Grock,20,9,11
Barats,17,9,8
Kaja,17,7,10
Wanwan,16,11,5
Khufra,16,5,11
Franco,15,8,7
Akai,15,5,10
Joy,14,3,11
X.Borg,13,8,5
Lancelot,11,7,4
Bruno,11,5,6
Minotaur,11,5,6
Alice,11,4,7
Suyou,10,8,2
Lolita,10,3,7
Benedetta,9,4,5
Clint,9,4,5
Lylia,9,4,5
Thamuz,8,5,3
Carmilla,7,5,2
Irithel,7,5,2
Chip,7,3,4
Gloo,7,2,5
Hilda,6,5,1
Brody,5,2,3
Yu Zhong,5,2,3
Ixia,3,2,1
Rafaela,3,1,2
Fredrinn,2,2,0
Guinevere,2,1,1
Helcurt,2,1,1
Hanabi,2,0,2
Melissa,2,0,2
Novaria,2,0,2
Atlas,1,1,0
Cecilion,1,1,0
Natalia,1,1,0
Paquito,1,1,0
Pharsa,1,1,0
Uranus,1,1,0
Yin,1,1,0
Cici,1,0,1
Kadita,1,0,1
Martis,1,0,1
Masha,1,0,1
Minsitthar,1,0,1
Nana,1,0,1
Aamon,0,0,0
Aldous,0,0,0
Alucard,0,0,0
Argus,0,0,0
Aulus,0,0,0
Badang,0,0,0
Balmond,0,0,0
Baxia,0,0,0
Belerick,0,0,0
Chang'e,0,0,0
Cyclops,0,0,0
Diggie,0,0,0
Dyrroth,0,0,0
Esmeralda,0,0,0
Estes,0,0,0
Eudora,0,0,0
Floryn,0,0,0
Freya,0,0,0
Gord,0,0,0
Granger,0,0,0
Gusion,0,0,0
Hanzo,0,0,0
Harley,0,0,0
Johnson,0,0,0
Kagura,0,0,0
Karina,0,0,0
Kimmy,0,0,0
Lapu-Lapu,0,0,0
Layla,0,0,0
Leomord,0,0,0
Lesley,0,0,0
Lukas,0,0,0
Miya,0,0,0
Odette,0,0,0
Popol and Kupa,0,0,0
Saber,0,0,0
Selena,0,0,0
Silvanna,0,0,0
Sun,0,0,0
Vale,0,0,0
Valir,0,0,0
Xavier,0,0,0
Yi Sun-shin,0,0,0
Zilong,0,0,0
