No.,Composition,Match,T1 Picks,T2 Picks,Win,Lose,WR%,LR%
1,"('Fighter', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Mage')",2,2,0,2,0,100.0,0.0
2,"('Fighter/ Mage', 'Mage', 'Marksman', 'Tank/ Marksman', 'Tank/ Support')",1,0,1,0,1,0.0,100.0
3,"('Assassin', 'Fighter', 'Mage', 'Mage', 'Tank/ Support')",1,1,0,1,0,100.0,0.0
4,"('Assassin', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
5,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Tank')",14,6,8,5,9,35.714285714285715,64.28571428571428
6,"('Fighter/ Mage', 'Mage', 'Marksman', 'Tank', 'Tank/ Marksman')",4,1,3,3,1,75.0,25.0
7,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Marksman', 'Tank')",2,2,0,1,1,50.0,50.0
8,"('Fighter', 'Fighter/ Assassin', 'Fighter/ Mage', 'Mage', 'Marksman')",3,0,3,0,3,0.0,100.0
9,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Mage')",2,2,0,1,1,50.0,50.0
10,"('Fighter/ Assassin', 'Fighter/ Mage', 'Mage', 'Marksman', 'Tank')",1,0,1,1,0,100.0,0.0
11,"('Assassin', 'Mage', 'Marksman', 'Tank/ Fighter', 'Tank/ Support')",1,1,0,0,1,0.0,100.0
12,"('Fighter', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Support/ Assassin')",1,0,1,1,0,100.0,0.0
13,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Mage', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
14,"('Fighter', 'Fighter/ Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman')",1,0,1,1,0,100.0,0.0
15,"('Fighter', 'Fighter', 'Mage', 'Marksman', 'Tank/ Marksman')",2,1,1,2,0,100.0,0.0
16,"('Assassin', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Support/ Tank')",1,0,1,0,1,0.0,100.0
17,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Tank/ Marksman')",6,3,3,2,4,33.33333333333333,66.66666666666667
18,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank/ Support')",1,0,1,0,1,0.0,100.0
19,"('Assassin', 'Fighter/ Assassin', 'Fighter/ Mage', 'Mage', 'Marksman')",1,1,0,1,0,100.0,0.0
20,"('Assassin', 'Mage', 'Marksman', 'Tank', 'Tank/ Marksman')",6,4,2,4,2,66.66666666666666,33.33333333333334
21,"('Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Marksman', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
22,"('Fighter', 'Fighter', 'Fighter/ Tank', 'Mage', 'Marksman')",1,0,1,1,0,100.0,0.0
23,"('Fighter/ Assassin', 'Fighter/ Mage', 'Fighter/ Marksman', 'Mage', 'Tank')",1,1,0,0,1,0.0,100.0
24,"('Assassin', 'Mage', 'Marksman', 'Tank/ Fighter', 'Tank/ Marksman')",6,6,0,1,5,16.666666666666664,83.33333333333334
25,"('Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Mage', 'Tank/ Fighter')",1,0,1,1,0,100.0,0.0
26,"('Assassin', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank')",4,4,0,2,2,50.0,50.0
27,"('Fighter/ Assassin', 'Fighter/ Mage', 'Fighter/ Marksman', 'Mage', 'Tank/ Support')",1,0,1,0,1,0.0,100.0
28,"('Fighter/ Marksman', 'Fighter/ Tank', 'Marksman', 'Support/ Mage', 'Tank')",1,0,1,1,0,100.0,0.0
29,"('Fighter', 'Fighter', 'Fighter/ Assassin', 'Mage', 'Marksman')",1,1,0,1,0,100.0,0.0
30,"('Fighter/ Mage', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Tank/ Support')",1,0,1,0,1,0.0,100.0
31,"('Assassin', 'Fighter/ Tank', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
32,"('Fighter/ Assassin', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Support/ Mage')",1,0,1,1,0,100.0,0.0
33,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Support/ Mage', 'Tank')",1,1,0,1,0,100.0,0.0
34,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage')",2,1,1,2,0,100.0,0.0
35,"('Assassin', 'Mage', 'Mage', 'Tank', 'Tank')",3,0,3,2,1,66.66666666666666,33.33333333333334
36,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
37,"('Assassin', 'Fighter/ Assassin', 'Fighter/ Tank', 'Mage', 'Marksman')",1,0,1,0,1,0.0,100.0
