Hero,∑,W,L,WR%,Image,Icon,Role,Dominant Role
Aamon,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/2/2c/Aamon_%28Duke_of_Shards%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134516,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png,Assassin,Assassin
Akai,15,5,10,33.33333333333333,https://static.wikia.nocookie.net/mobile-legends/images/8/83/Akai_%28Panda_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104055333,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28f223447f0174336ff0922d364d81d3.png,Tank,Tank
Aldous,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/5/51/Soul_Contractor_wall.png/revision/latest/scale-to-width-down/1000?cb=20180816134944,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0eb32187d08f14779585a8be53b83f01.png,Fighter,Fighter
Alice,11,4,7,36.36363636363637,https://static.wikia.nocookie.net/mobile-legends/images/e/e2/Alice_%28Queen_of_Blood%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200419033908,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_558cf35ad7d5f0cc4f0b4cbdf9498f9f.png,Mage/ Tank,Mage
Alpha,71,39,32,54.929577464788736,https://static.wikia.nocookie.net/mobile-legends/images/4/4a/Alpha_%28Blade_of_Enmity%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022141,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_86c9f91f530727db6498f920d19180d1.png,Fighter,Fighter
Alucard,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/b/b9/Alucard_%28Demon_Hunter%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240125070011,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0f51b6906e08897aa02330d65b0deeac.png,Fighter/ Assassin,Fighter
Angela,23,12,11,52.17391304347826,https://static.wikia.nocookie.net/mobile-legends/images/b/b8/Angela_%28Bunnylove%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200513054334,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c7e0183956b2c2fd6d3fa0b18fe46917.png,Support,Support
Argus,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/5/54/Argus_%28Dark_Angel%29.jpg/revision/latest/scale-to-width-down/1000?cb=20210312121415,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png,Fighter,Fighter
Arlott,58,29,29,50.0,https://static.wikia.nocookie.net/mobile-legends/images/f/ff/Arlott_%28Lone_Lancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230308110635,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f666faa5ec6be5353f10dcd1d8997a42.png,Fighter/ Assassin,Fighter
Atlas,1,1,0,100.0,https://static.wikia.nocookie.net/mobile-legends/images/9/92/Ocean_Gladiator_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200528124541,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d974ac796678180ff8724b88e192898b.png,Tank,Tank
Aulus,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Aulus_%28Warrior_of_Ferocity%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211213141917,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_40839957990dbb59a9e5ec4da9f85a8e.png,Fighter,Fighter
Aurora,44,26,18,59.09090909090909,https://static.wikia.nocookie.net/mobile-legends/images/9/9a/Aurora_%28Maiden_of_the_Glacier%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240131121029,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f9b2be0150361018bb98f941b9667c42.png,Mage,Mage
Badang,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/7/73/Badang_%28Tribal_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240327131624,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9fb1784545a48aef42241fc7a719c575.png,Fighter,Fighter
Balmond,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/3/30/Balmond_%28Bloody_Beast%29.jpg/revision/latest?cb=20210823114425,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4df4ce8528166d6e1cc94480f4f0e910.png,Fighter,Fighter
Bane,21,13,8,61.904761904761905,https://static.wikia.nocookie.net/mobile-legends/images/0/02/Bane_%28Frozen_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20210415134911,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_7e4e74bb161da0f477cc0d1819fa39e6.png,Fighter/ Mage,Fighter
Barats,17,9,8,52.94117647058824,https://static.wikia.nocookie.net/mobile-legends/images/7/70/Barats_%28Dino_Rider%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200918133041,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6495be044c2d28106e200f6918391d54.png,Tank/ Fighter,Tank
Baxia,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/3/3a/Baxia_%28Mystic_Tortoise%29.jpg/revision/latest/scale-to-width-down/1000?cb=20190926102330,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_80e408203869ca99302af195ac4f756c.png,Tank,Tank
Beatrix,29,18,11,62.06896551724138,https://static.wikia.nocookie.net/mobile-legends/images/c/cb/Beatrix_%28Dawnbreak_Soldier%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134351,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4687eca874feec9017b448a0b9110d65.png,Marksman,Marksman
Belerick,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Belerick_%28Guard_of_Nature%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220715131615,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5f2a9eca0bafd4ed8dc39a93c771b3af.png,Tank,Tank
Benedetta,9,4,5,44.44444444444444,https://static.wikia.nocookie.net/mobile-legends/images/e/e7/Benedetta%28Shadow_Ranger%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230926170223,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b4a5e537894bdc00787e80e4d3ada5dd.png,Assassin/ Fighter,Assassin
Brody,5,2,3,40.0,https://static.wikia.nocookie.net/mobile-legends/images/8/8e/Brody_%28The_Lone_Star%29.jpg/revision/latest/scale-to-width-down/1000?cb=20201023151943],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f18e45a9a4cb45897e1f614593ff4497.png,Marksman,Marksman
Bruno,11,5,6,45.45454545454545,https://static.wikia.nocookie.net/mobile-legends/images/d/d0/Bruno_%28Mech_Protector%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009020353,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff39deb9c6afec3d977fdbe9d86f78cb.png,Marksman,Marksman
Carmilla,7,5,2,71.42857142857143,https://static.wikia.nocookie.net/mobile-legends/images/8/84/Carmilla_%28Shadow_of_Twilight%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122158,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6fb8f120dafdcbc1b5da2a2667016ad5.png,Support/ Tank,Support
Cecilion,1,1,0,100.0,https://static.wikia.nocookie.net/mobile-legends/images/2/2b/Embrace_of_Night_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122305,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_045399c265021d47da6512e6de20b64f.png,Mage,Mage
Chang'e,0,0,0,,,,,
Chip,7,3,4,42.857142857142854,https://static.wikia.nocookie.net/mobile-legends/images/9/94/Chip_%28Phase_Technician%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240303050952,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_79224d297f14377ad2eda8543432330d.png,Support/ Tank,Support
Chou,44,19,25,43.18181818181818,https://static.wikia.nocookie.net/mobile-legends/images/0/0c/Chou_%28Kung_Fu_Boy%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819015920,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_158209b180032c4564b8f3bde8c48888.png,Fighter,Fighter
